battery,exec_timestamp,planning_timestamp,task,scheduler,device_id,device_name,day,exec_date,plan_date,step,delay,mean,sd,lo,hi,outlier
88,1585563868079,1585563807941,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:24:28Z,2020-03-30T10:23:27Z,1,0.1380000114440918,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585563931702,1585563828224,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:25:31Z,2020-03-30T10:23:48Z,2,43.4779999256134,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,yes
88,1585563991697,1585563931567,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:26:31Z,2020-03-30T10:25:31Z,3,0.13000011444091797,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564051833,1585563991605,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:27:31Z,2020-03-30T10:26:31Z,4,0.22799992561340332,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564112299,1585564051767,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:28:32Z,2020-03-30T10:27:31Z,5,0.5320000648498535,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564172658,1585564112249,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:29:32Z,2020-03-30T10:28:32Z,6,0.4089999198913574,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564233429,1585564172601,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:30:33Z,2020-03-30T10:29:32Z,7,0.8279998302459717,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564294222,1585564233381,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:31:34Z,2020-03-30T10:30:33Z,8,0.8409998416900635,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564354888,1585564294160,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:32:34Z,2020-03-30T10:31:34Z,9,0.7279999256134033,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564415129,1585564354840,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:33:35Z,2020-03-30T10:32:34Z,10,0.2890000343322754,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564475787,1585564415081,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:34:35Z,2020-03-30T10:33:35Z,11,0.7059998512268066,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564535955,1585564475733,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:35:35Z,2020-03-30T10:34:35Z,12,0.2219998836517334,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564596254,1585564535907,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:36:36Z,2020-03-30T10:35:35Z,13,0.3469998836517334,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564657243,1585564596208,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:37:37Z,2020-03-30T10:36:36Z,14,1.0350000858306885,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564718415,1585564657200,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:38:38Z,2020-03-30T10:37:37Z,15,1.2149999141693115,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564779534,1585564718381,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:39:39Z,2020-03-30T10:38:38Z,16,1.1529998779296875,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564840610,1585564779494,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:40:40Z,2020-03-30T10:39:39Z,17,1.1159999370574951,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564900907,1585564840564,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:41:40Z,2020-03-30T10:40:40Z,18,0.3430001735687256,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585564961286,1585564900869,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:42:41Z,2020-03-30T10:41:40Z,19,0.41700005531311035,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565021519,1585564961243,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:43:41Z,2020-03-30T10:42:41Z,20,0.2760000228881836,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565081556,1585565021476,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:44:41Z,2020-03-30T10:43:41Z,21,0.07999992370605469,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565142443,1585565081502,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:45:42Z,2020-03-30T10:44:41Z,22,0.9409999847412109,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565202495,1585565142406,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:46:42Z,2020-03-30T10:45:42Z,23,0.08899998664855957,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565263334,1585565202438,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:47:43Z,2020-03-30T10:46:42Z,24,0.8960001468658447,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565323846,1585565263293,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:48:43Z,2020-03-30T10:47:43Z,25,0.5529999732971191,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565384894,1585565323807,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:49:44Z,2020-03-30T10:48:43Z,26,1.0870001316070557,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565445519,1585565384847,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:50:45Z,2020-03-30T10:49:44Z,27,0.6720001697540283,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565505961,1585565445471,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:51:45Z,2020-03-30T10:50:45Z,28,0.49000000953674316,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565566159,1585565505923,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:52:46Z,2020-03-30T10:51:45Z,29,0.23599982261657715,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565626341,1585565566115,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:53:46Z,2020-03-30T10:52:46Z,30,0.22600007057189941,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565686532,1585565626296,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:54:46Z,2020-03-30T10:53:46Z,31,0.23600006103515625,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565746700,1585565686492,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:55:46Z,2020-03-30T10:54:46Z,32,0.20799994468688965,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565807172,1585565746667,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:56:47Z,2020-03-30T10:55:46Z,33,0.5049998760223389,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565868262,1585565807132,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:57:48Z,2020-03-30T10:56:47Z,34,1.130000114440918,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565928781,1585565868224,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:58:48Z,2020-03-30T10:57:48Z,35,0.556999921798706,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
88,1585565989010,1585565928739,dummy,AD,A1,Xiaomi Mi A1,1,2020-03-30T10:59:49Z,2020-03-30T10:58:48Z,36,0.2709999084472656,0.496004119187921,4.36789300983899,-8.239781900490058,9.2317901388659,no
